geometry,bench,bin,bus,highway,name_left,network,operator,public_transport,ref_left,shelter,source_left,old_name_left,old_name:es,lit,tactile_paving,check_date:shelter,name:ca_left,old_name:ca,wheelchair,check_date:bench,departures_board,kerb,kerb:approach_aid,passenger_information_display,covered,wikidata_left,wikipedia_left,network:wikidata,addr:city,addr:housenumber,addr:postcode,addr:street,lines,name:es_left,direction,network:wikipedia,local_ref,check_date,description,name:en,fixme,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type,wikidata_right,wikipedia_right,ref_right,alt_name,old_name_right,alt_name:ca
POINT (-0.3579151 39.4803423),no,,yes,bus_stop,Primat Reig - Camí Vera,EMT,Empresa Municipal de Transportes de Valencia,platform,192,no,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3620823 39.4851243),yes,yes,yes,bus_stop,Benimaclet,EMT,Empresa Municipal de Transportes de Valencia,platform,177,yes,www.emtvalencia.es,Emili Baró - Reverend Rafael Tramoyeres,,yes,no,,Benimaclet,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3605739 39.4882234),,,yes,bus_stop,Emili Baró - Francesc Martínez,EMT,Empresa Municipal de Transportes de Valencia,platform,179,yes,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3613887 39.4865886),,,yes,bus_stop,Emili Baró - Manuel Castellanos,EMT,Empresa Municipal de Transportes de Valencia,platform,178,yes,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3660655 39.4860509),yes,yes,yes,bus_stop,Primat Reig - Calderón de la Barca,EMT;Metrobus,Empresa Municipal de Transportes de Valencia;AVSA,platform,216,yes,www.emtvalencia.es,,,yes,yes,2023-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3678907 39.4869938),,,yes,bus_stop,Primat Reig,EMT,Empresa Municipal de Transportes de Valencia,platform,215,yes,www.emtvalencia.es,Alboraia - Primat Reig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3571116 39.4858179),yes,no,yes,bus_stop,Germans Villalonga - Enric Navarro,EMT,Empresa Municipal de Transportes de Valencia,platform,965,yes,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3575735 39.4839972),,,yes,bus_stop,Vicent Zaragozà,EMT,Empresa Municipal de Transportes de Valencia,platform,966,,www.emtvalencia.es,Germans Villalonga - Dr. Vicent Zaragozà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3592238 39.4817398),,,yes,bus_stop,Ramón Asensio - Guàrdia Civil,EMT,Empresa Municipal de Transportes de Valencia,platform,967,yes,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3586146 39.4831914),yes,no,yes,bus_stop,Centre de Salut Benimaclet,EMT,Empresa Municipal de Transportes de Valencia,platform,985,yes,www.emtvalencia.es,Jaume Esteve Cubells - Dr. Vicent Zaragozà,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3578467 39.4859324),yes,no,yes,bus_stop,Mistral - Murta,EMT,Empresa Municipal de Transportes de Valencia,platform,987,yes,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3592175 39.4820113),,,yes,bus_stop,Tírig - Guàrdia Civil,EMT,Empresa Municipal de Transportes de Valencia,platform,1032,,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3570256 39.4869827),no,yes,yes,bus_stop,Lliri Blau - Mestre Ventura Pascual,EMT,Empresa Municipal de Transportes de Valencia,platform,1240,no,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3628859 39.4866656),no,no,yes,bus_stop,Dolores Marqués - Reverend José María Pinazo,EMT,Empresa Municipal de Transportes de Valencia,platform,1232,no,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3620715 39.4882477),yes,yes,yes,bus_stop,Dolores Marqués - Assagador d'Alboraia,EMT,Empresa Municipal de Transportes de Valencia,platform,1233,no,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3634372 39.4856226),yes,yes,yes,bus_stop,Dolores Marqués - Benicarló,EMT,Empresa Municipal de Transportes de Valencia,platform,1231,no,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3656403 39.4860766),yes,no,yes,bus_stop,Primat Reig - Viver,EMT;Metrobus,Empresa Municipal de Transportes de Valencia;AVSA,platform,1680,yes,www.emtvalencia.es,,,yes,no,2023-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
