geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name_left,name:ca_left,short_name,operator:type,wikidata_left,operator,wikimedia_commons,source_left,source:date,website,alt_name_left,official_name,opening_hours,phone,name:es_left,email,contact:email,contact:phone,contact:website,craft,ref_left,after_school,wheelchair,denomination,grades,religion,internet_access,isced:level,name:etymology:wikidata,operator:wikidata,wikipedia_left,building,building:levels,nohousenumber,alt_name:ca_left,alt_name:es,short_name:es,barrier,old_name_left,old_name:ca,old_name:es,contact:fax,name:de,polling_station,max_age,min_age,designation,description,check_date,fax,name:en,short_name:ca,note,start_date,addr:country,contact:facebook,pedagogy,school,addr:city:ca,addr:city:es,addr:street:ca,addr:street:es,ele,image,addr:housename,type_left,roof:levels,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref_right,alt_name_right,old_name_right,alt_name:ca_right
POINT (-0.3551799333876735 39.482167954825286),València,3,46020,"Carrer d'Emili Panach i Ramos ""Milo""",school,Institut d'Educació Secundària Francesc Ferrer i Guàrdia,Institut d'Educació Secundària Francesc Ferrer i Guàrdia,IES Francesc Ferrer i Guàrdia,public,Q107098481,,,,,http://iesferreriguardia.edu.gva.es/,,,,+34 961 20 62 45,,,,,,,46019571,,,,,,,,Q354202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3547504371001882 39.483898050203585),València,,46020,,school,Col·legi d'Educació Infantil i Primària Pare Català,Col·legi d'Educació Infantil i Primària Pare Català,CEIP Pare Català,public,Q108135954,,,,,,,,,+34 961 20 54 00,Colegio de Educación Infantil y Primaria Pare Català,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3616531129295094 39.48423593171023),València,12,46020,Carrer de Soledad Doménech,school,Colegio Claret,,,,,,,Catastro Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3572139561369396 39.49056118888075),,3,,Calle Poeta Ricardo Sanmartí,school,Colegio Sagrada Familia - Patronato Juventud Obrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232080.0,10,administrative,,Camí de Vera,Camí de Vera,,boundary,Q5399751,ca:Camí de Vera (barri de València),,,,
POINT (-0.3556865870744681 39.486672635629),,,,,school,Col·legi d'Educació Infantil i Primària de Benimaclet,Col·legi d'Educació Infantil i Primària de Benimaclet,,,Q108135673,,,,,,,,,,Colegio de Educación Infantil y Primária de Benimaclet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232080.0,10,administrative,,Camí de Vera,Camí de Vera,,boundary,Q5399751,ca:Camí de Vera (barri de València),,,,
POINT (-0.3815941677965223 39.479497223632144),,,,,school,Institut d'Educació Secundària Barri del Carme,Institut d'Educació Secundària Barri del Carme,IES Barri del Carme,public,Q107098482,Generalitat Valenciana,,,,http://www.ceice.gva.es/va/,,,,+34 961206095,Instituto de Educación Secundaria Barri del Carme,,,,,,46020391,,,,,,,,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3816483083674074 39.478932248332065),,,,,school,Col·legi d'Educació Infantil i Primària Santa Teresa,Col·legi d'Educació Infantil i Primària Santa Teresa,CEIP Santa Teresa,public,Q108422443,Generalitat Valenciana,,,,http://ampasantateresa.es,,,,+34 962566740,Colegio de Educación Infantil y Primaria Santa Teresa,,,,,,,,,,,,,,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3781635424568362 39.480046903052546),,,,,school,Col·legi Gran Asociación,,,private,,Gran Asociación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3715287 39.4756624),València,23,46003,Carrer del Governador Vell,school,Escolania Nuestra Señora de los Desamparados,,,,,,,,,,,,,+34 963 91 84 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305095.0,10,administrative,,la Xerea,la Xerea,,boundary,Q9019062,ca:La Xerea,1.2. la Xerea,,,
POINT (-0.3750259622277382 39.478623785120085),,5,,Carrer del Mur de Santa Anna,school,Colegio Sagrado Corazón,,,,,,,,,https://colegiosagradocorazon.es/,,,,+34 963 91 05 12,,,,,,,,,,,,,,,,,,school,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,1,relation,14305096.0,10,administrative,,la Seu,la Seu,La Sede,boundary,Q9018963,ca:La Seu (barri de València),1.3. la Seu,,,
POINT (-0.3819784253981954 39.47411064888015),,,,,school,Colegio de las Escuelas Pías,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q273894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305600.0,10,administrative,,el Pilar,el Pilar,,boundary,Q8773296,ca:Velluters,1.4. el Pilar,Velluters,,
POINT (-0.3779105598471167 39.46818984432222),,4,,Carrer de Sant Pau,school,Institut d'Educació Secundària Lluís Vives,,IES Lluís Vives,,Q17279803,,,,,http://ieslluisvives.es/,IES Luis Vives,,,,,,,,,,,,,,,,,,,,es:Instituto Lluís Vives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3783177 39.4756748),,,,,school,Don Quijote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305624.0,10,administrative,,el Mercat,el Mercat,,boundary,,ca:El Mercat,1.5. el Mercat,,,
POINT (-0.4133611443586534 39.46768432411677),València,2,46014,Carrer de Quart de les Valls,school,Col·legi d'Educació Infantil i Primària Rafael Altamira,Col·legi d'Educació Infantil i Primària Rafael Altamira,CEIP Rafael Altamira,public,Q108135986,,,,,,,,,,,,,+34 962 56 41 20,http://mestreacasa.gva.es/web/4601640300;http://mestreacasa.gva.es/web/rafaelaltamira,,,,,,,,,,Q425592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14702503.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Llum,la Llum,la Luz,boundary,Q9018676,es:La Llum,,,,
POINT (-0.4093087871232041 39.46504748799546),,9,46014,Plaza Murcia,school,Colegio Claret Fuensanta,,,religious,,Padres Claretianos,,,,https://www.claretfuensanta.es/,,,,+34 963 79 19 14,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/colegioclaretfuensanta,,,,,,,,,,,,relation,14705513.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Fontsanta,la Fontsanta,la Fuensanta,boundary,Q11687662,es:La Fuensanta (Valencia),,,,
POINT (-0.4113274904878054 39.464617621092906),,,,,school,Complex Educatiu Misericòrdia,Complex Educatiu Misericòrdia,,,,,,Catastro Spain,,,,,,,Complejo Educativo Misericordia,,,,,,46018035,,,,,,,,Q105724667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705513.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Fontsanta,la Fontsanta,la Fuensanta,boundary,Q11687662,es:La Fuensanta (Valencia),,,,
POINT (-0.4068450229934374 39.466188719443416),,,,,school,Colegio Santa María,,,,,,,Catastro Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705513.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Fontsanta,la Fontsanta,la Fuensanta,boundary,Q11687662,es:La Fuensanta (Valencia),,,,
POINT (-0.399988739947149 39.46676519495252),,,,,school,Instituto de Bachillerato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.3993719473917102 39.465469825511114),València,8,46008,Carrer de Guillem Despuig,school,Institut d'Educació Secundària Cid Campeador,Institut d'Educació Secundària Cid Campeador,IES Cid Campeador,public,Q107144047,Generalitat Valenciana,,,,https://mestreacasa.gva.es/web/iescid/inici,,,,+34 961 20 61 85,Instituto de Educación Secundaria Cid Campeador,,,,,,,,,,,,,,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.3957286989382374 39.46475921425179),València,1,46018,Carrer de María Zambrano (filòsofa),school,Col·legi d'Educació Infantil i Primària 8 de Març,Col·legi d'Educació Infantil i Primària 8 de Març,CEIP 8 de Març,public,Q108135789,Generalitat Valenciana,,,,,,,,,Colegio de Educación Infantil y Primaria 8 de Març,,,,,,,,,,,,,,Q38964,Q2477285,,,,,,,,,Col·legi d'Educació Infantil i Primària Doctor López Rosat,,Colegio de Educación Infantil y Primaria Doctor López Rosat,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.4045885298211467 39.46446902136209),,,,,school,Colegio la Purísima Franciscanas,,,,,Colegios La Purisima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.3985413616537293 39.466517883322695),,1,,Carrer Santa Cruz de Tenerife,school,Col·legi d'Educació Infantil i Primària Sector Aéreo,,CEIP Sector Aéreo,,Q108135684,,,,,http://www.ceice.gva.es/va/web/centros-docentes/consulta-general?viewUrl162652993=/abc/i_guiadecentros/es/centro.asp&codi=46012321,,,,,Colegio de Educación Infantil y Primaria Sector Aéreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.4026482808492987 39.466972254682446),València,7,46018,Carrer de Miquel Paredes,school,Col·legi d'educació Infantil i Primària Gaspar Gil Polo,Col·legi d'educació Infantil i Primària Gaspar Gil Polo,,,,,,,,,,,,,,,,,,,,,,,,,,,Q532021,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.4028175841667984 39.46629181315244),València,41,46018,Carrer del Músic Ayllón,school,Col·legi d'Educació Infantil i Primària Raquel Paya,Col·legi d'Educació Infantil i Primària Raquel Paya,CEIP Raquel Payà,,Q108135784,,,,,,,,,,,,,,,,,,,,,,,,Q20006451,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.4017789601727423 39.464024599205054),València,94,46018,Carrer de Tres Forques,school,Escola Infantil Municipal SOLC,,,public,,Ajuntament de València,,,,,,,,,,,,,,,46029525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.3985146351064053 39.47412400190921),València,32,46018,Carrer de la Democràcia,school,Col·legi d'Educació Infantil i Primària 9 d'Octubre,Col·legi d'Educació Infantil i Primària 9 d'Octubre,CEIP 9 d'Octubre,public,Q108135818,Generalitat Valenciana,,,,https://mestreacasa.gva.es/web/ceip9octubre,Col·legi Públic 9 d'Octubre,,,+34 962 566 800,Colegio de Educación Infantil y Primaria 9 de Octubre,46014868@gva.es,,,,,46014868,,,,,,,,,Q2477285,,,,,Col·legi Públic 9 d'Octubre,Colegio Público 9 de Octubre,CEIP 9 de Octubre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705515.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Nou Moles,Nou Moles,Nou Moles,boundary,Q11696079,es:Nou Moles,,,,
POINT (-0.3959110009209748 39.4700498861752),València,23,46018,Carrer d'Olimpia Arozena Torres (Professora),school,Col·legi d'Educació Infantil i Primària Doctor Barcia Goyanes,Col·legi d'Educació Infantil i Primària Doctor Barcia Goyanes,,public,Q108135790,Generalitat Valenciana,,,,,,,,,Colegio de Educación Infantil y Primaria Doctor Barcia Goyanes,,,,,,46013499,,,,,,,,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705515.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Nou Moles,Nou Moles,Nou Moles,boundary,Q11696079,es:Nou Moles,,,,
