geometry,amenity,healthcare,name_left,addr:street,addr:city,addr:housenumber,addr:postcode,contact:phone,healthcare:speciality,name:es_left,operator,website,wikidata_left,opening_hours,phone,layer,check_date,emergency,operator:type,building,name:ca_left,name:etymology:wikidata,old_name_left,wheelchair,alt_name_left,alt_name:es,short_name,wikipedia_left,operator:wikidata,building:levels,building:levels:underground,rooms,type_left,element_right,id_right,admin_level,boundary,source,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref,alt_name_right,old_name_right,alt_name:ca
POINT (-0.3740804 39.4712282),hospital,,Asisa,,,,,,,,,,,,,,2024-10-17,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
"POLYGON ((-0.4064932 39.4694036, -0.4065557 39.4693088, -0.4066434 39.4691639, -0.4067179 39.4690187, -0.4067562 39.4688858, -0.4067524 39.4687883, -0.4066983 39.4683022, -0.4066122 39.4675456, -0.4067535 39.4674116, -0.4078002 39.467341, -0.4080467 39.4673226, -0.4081555 39.4673151, -0.4084769 39.467293, -0.4098634 39.4671975, -0.4100297 39.4672969, -0.4100903 39.4678621, -0.4101166 39.4681247, -0.4100876 39.4681264, -0.4100918 39.4681747, -0.4100996 39.4682571, -0.4101082 39.4683293, -0.4101351 39.4683266, -0.4102408 39.4692646, -0.4101054 39.4693844, -0.4074763 39.469558, -0.4071491 39.469558, -0.406601 39.4695315, -0.4064932 39.4694036))",hospital,hospital,Hospital General Universitari,Avenida de las Tres Cruces,,,,,,Hospital General Universitario,,,Q5555028,,+34 963131800,,,yes,,,Hospital General Universitari,Q5555028,,,,,,es:Hospital General Universitario (Valencia),,,,,,relation,14705513.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Fontsanta,la Fontsanta,la Fuensanta,boundary,Q11687662,es:La Fuensanta (Valencia),,,,
POINT (-0.3706641 39.4687393),hospital,hospital,Hospital IMED Colón,Carrer d'Isabel la Catòlica,València,12,46004,,,,IMED,https://www.imedhospitales.com/es/valencia-colon/,,,+34 963 00 30 02,,,yes,private,,,,,,,,,,,,,,,relation,14727509.0,10,administrative,,el Pla del Remei,el Pla del Remei,,boundary,,,,,,
"POLYGON ((-0.4023237 39.4783317, -0.4022862 39.4782125, -0.4022027 39.4779594, -0.4021587 39.4778259, -0.4021377 39.4777622, -0.4020939 39.4776291, -0.4020463 39.4774847, -0.4020325 39.477443, -0.401933 39.4774628, -0.4017154 39.477506, -0.4016829 39.4775131, -0.4016389 39.4775225, -0.4011986 39.4776082, -0.4011464 39.477619, -0.4011224 39.477624, -0.401054 39.4776376, -0.4008266 39.4776828, -0.4007484 39.4776984, -0.4004905 39.4777497, -0.4005568 39.4779511, -0.4006653 39.4782823, -0.4007565 39.4782857, -0.4009057 39.4782911, -0.4009543 39.4782928, -0.4010308 39.4782956, -0.4013054 39.4783059, -0.401397 39.4783093, -0.4016402 39.4783179, -0.4018906 39.4783272, -0.4020191 39.4783286, -0.4023237 39.4783317))",hospital,hospital,Hospital Vithas Valencia 9 de Octubre,Carrer de la Vall de la Ballestera,,59,,,,,Vithas,https://vithas.es/centro/vithas-hospital-valencia-9-de-octubre/,Q64442852,,+34 963179100,,,yes,private,,Hospital Vithas València 9 d'Octubre,Q7799249,Hospital 9 de Octubre,yes,,,,,,,,,,relation,14727656.0,10,administrative,,Sant Pau,Sant Pau,,boundary,Q9073969,ca:Sant Pau (barri de València),,,,
"POLYGON ((-0.403183 39.4915191, -0.4031027 39.4914082, -0.4030971 39.4913994, -0.4030726 39.4913659, -0.4029955 39.4912563, -0.4029447 39.4911853, -0.4028324 39.4910271, -0.4028078 39.4909924, -0.4027512 39.4909147, -0.4026048 39.4907155, -0.4026386 39.4905845, -0.402714 39.4902876, -0.4027354 39.4902047, -0.4028776 39.4902341, -0.4029685 39.4902351, -0.4031126 39.4902184, -0.4032052 39.4901785, -0.4033289 39.4900945, -0.403396 39.4899926, -0.4034279 39.4899222, -0.4034912 39.4899468, -0.4040304 39.4901083, -0.4040428 39.4901254, -0.404158 39.4902841, -0.4041711 39.4903022, -0.4042402 39.4903973, -0.4045687 39.4908562, -0.4046034 39.4909057, -0.403717 39.4912883, -0.4033453 39.4914496, -0.4032233 39.4915015, -0.4032139 39.4915058, -0.403183 39.4915191))",hospital,hospital,Hospital Arnau de Vilanova,Calle San Clemente,,12,,,,,,,Q50562360,,,,,yes,,,Hospital Arnau de Vilanova,Q356568,,,,,,,,,,,,relation,14727656.0,10,administrative,,Sant Pau,Sant Pau,,boundary,Q9073969,ca:Sant Pau (barri de València),,,,
POINT (-0.3904493 39.4837878),hospital,hospital,Hospital Universitario La Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727659.0,10,administrative,,Campanar,Campanar,,boundary,Q3393032,ca:Campanar (València),,,,
"POLYGON ((-0.3904497 39.4821613, -0.3904109 39.4821367, -0.3903876 39.4821127, -0.390365 39.4820824, -0.3903559 39.482038, -0.3903561 39.4819998, -0.3903644 39.4819593, -0.3903798 39.4819222, -0.3903894 39.4819014, -0.3903437 39.4819066, -0.3903274 39.4819215, -0.3902685 39.4819461, -0.3902036 39.4818528, -0.3904003 39.481769, -0.3906167 39.481676, -0.3906785 39.4817631, -0.3904921 39.4818434, -0.3904949 39.4818464, -0.3904992 39.4818566, -0.3905227 39.4818504, -0.3905496 39.4818454, -0.3905475 39.4818322, -0.3905851 39.4818317, -0.3906184 39.4818334, -0.3906521 39.48184, -0.3906815 39.4818492, -0.3906745 39.4818603, -0.3907007 39.4818697, -0.3907238 39.4818817, -0.3907311 39.4818724, -0.3907503 39.481884, -0.3907705 39.4819026, -0.3907865 39.4819229, -0.3908002 39.4819443, -0.3908077 39.4819641, -0.3907947 39.4819676, -0.3907991 39.4819812, -0.3908027 39.4819982, -0.3908048 39.4820136, -0.3908458 39.4820125, -0.3908453 39.4820381, -0.3908417 39.4820541, -0.3908349 39.482077, -0.3908197 39.4821055, -0.3908067 39.482124, -0.3907915 39.4821396, -0.3907752 39.4821544, -0.3907529 39.4821714, -0.3907195 39.4821919, -0.3906826 39.4822062, -0.3906488 39.4822144, -0.3906222 39.4822167, -0.3906211 39.4821902, -0.3905848 39.4821936, -0.3905468 39.4821944, -0.3905112 39.4821828, -0.3904728 39.4821703, -0.3904497 39.4821613))",hospital,hospital,Instituto Valenciano de Oncología,,,,,,,,,,Q5561364,,,,,,,yes,Institut Valencià d'Oncologia,,,yes,,,,,,,,,multipolygon,relation,14727659.0,10,administrative,,Campanar,Campanar,,boundary,Q3393032,ca:Campanar (València),,,,
"POLYGON ((-0.3624952 39.4787656, -0.3624254 39.4789117, -0.3622972 39.478875, -0.3622512 39.4789762, -0.362303 39.4789914, -0.3622109 39.4791849, -0.36214 39.4791668, -0.362122 39.4792021, -0.362088 39.4791931, -0.3619689 39.4794342, -0.3619341 39.4794596, -0.3618863 39.4795605, -0.361452 39.479437, -0.36138 39.4794157, -0.3614752 39.479213, -0.3615651 39.4790365, -0.361584 39.4789986, -0.3613703 39.4789389, -0.3613613 39.4789574, -0.361346 39.4789517, -0.3613288 39.4789892, -0.3612235 39.4792024, -0.3611606 39.4793347, -0.3609689 39.4792775, -0.3608722 39.4792505, -0.3610637 39.4788692, -0.3612877 39.4784075, -0.3612922 39.4783958, -0.3615896 39.4784849, -0.361537 39.4785969, -0.3617514 39.4786571, -0.3618003 39.4785603, -0.3624952 39.4787656), (-0.3617374 39.4786868, -0.361523 39.4786266, -0.3613821 39.4789137, -0.3615958 39.4789735, -0.3617374 39.4786868))",hospital,hospital,Hospital Clínic Universitari,Avinguda de Blasco Ibáñez,València,17,,,general;emergency;gynaecology;psychiatry;paediatrics;surgery,Hospital Clínico Universitario,Generalitat Valenciana,,Q9004870,,,1,,yes,public,hospital,Hospital Clínic Universitari,Q9004870,,,,,,ca:Hospital Clínic Universitari (València),Q2477285,,,,multipolygon,relation,14731655.0,10,administrative,,Ciutat Universitària,Ciutat Universitària,,boundary,Q8346555,ca:Ciutat Universitària (barri de València),,,,
"POLYGON ((-0.364392 39.4781678, -0.3644089 39.478133, -0.3645071 39.4781612, -0.3645433 39.4780862, -0.3645627 39.4780918, -0.3646513 39.4781173, -0.3646822 39.4780532, -0.3645781 39.4780233, -0.3646145 39.4779479, -0.364336 39.4778677, -0.3642968 39.4779487, -0.3642678 39.4779403, -0.3642793 39.4779166, -0.3642372 39.4779045, -0.3641942 39.4778921, -0.3641923 39.477896, -0.3639344 39.4778212, -0.3639377 39.4778145, -0.3638593 39.4777917, -0.3638082 39.4778966, -0.3638868 39.4779194, -0.3638903 39.4779121, -0.3640071 39.477946, -0.3639504 39.4780624, -0.3637365 39.4780004, -0.3636771 39.4781224, -0.363852 39.478173, -0.3641087 39.4782475, -0.3641274 39.478209, -0.3641617 39.4781386, -0.3641785 39.4781434, -0.3642257 39.4780463, -0.364211 39.478042, -0.3642263 39.4780104, -0.3642318 39.4780119, -0.364238 39.4779991, -0.3642672 39.4780075, -0.3642306 39.4780834, -0.3643352 39.4781135, -0.3643192 39.4781468, -0.364392 39.4781678))",hospital,hospital,Hospital Quirón Salud Valencia,,,,,,,,,https://www.quironsalud.es/valencia,Q87688092,,+34 900301013;+34 963690600,,,,,hospital,,,,,,,,,,,,,,relation,14731658.0,10,administrative,,Exposició,Exposició,,boundary,Q10285105,ca:L'Exposició (barri de València),,,,
"POLYGON ((-0.3952765 39.4525234, -0.3952605 39.4525936, -0.3952704 39.4525946, -0.3952274 39.4528406, -0.3952467 39.4528439, -0.3952619 39.4528504, -0.395271 39.4528636, -0.3952732 39.4528786, -0.395267 39.4528934, -0.3952537 39.452903, -0.3952368 39.4529073, -0.3952151 39.4529054, -0.3951796 39.4530992, -0.3952038 39.4531054, -0.39522 39.4531167, -0.3952234 39.4531342, -0.3952197 39.4531479, -0.3952082 39.4531596, -0.395192 39.4531638, -0.3951681 39.4531623, -0.3951199 39.4533976, -0.3951302 39.4534002, -0.3951407 39.4534084, -0.3951459 39.453421, -0.3951467 39.4534327, -0.3951418 39.4534414, -0.3951315 39.4534502, -0.3951207 39.4534541, -0.3951102 39.4534555, -0.3951089 39.4534626, -0.3950983 39.4534614, -0.3950631 39.4536458, -0.3950562 39.4536551, -0.3950449 39.4536606, -0.3950287 39.4536615, -0.394979 39.4537904, -0.3950729 39.4538166, -0.3950998 39.4538253, -0.3951212 39.4538371, -0.3951419 39.4538547, -0.3952764 39.4540443, -0.3952931 39.4540383, -0.3953279 39.4540455, -0.3953519 39.454076, -0.3953405 39.4541072, -0.3951874 39.4541766, -0.3951346 39.4541079, -0.3951393 39.4541058, -0.3950089 39.4539314, -0.3949816 39.4539238, -0.3949795 39.4539282, -0.3947933 39.4538803, -0.3946245 39.4538337, -0.3944364 39.4537831, -0.3944382 39.4537793, -0.3944066 39.4537722, -0.3941433 39.4538588, -0.3941249 39.4538617, -0.3941106 39.4538557, -0.3941042 39.4538459, -0.3941088 39.4538364, -0.3941151 39.4538314, -0.3941117 39.4538211, -0.3941767 39.4537998, -0.3941381 39.4537302, -0.394363 39.4536542, -0.3943875 39.4536498, -0.3944206 39.4536487, -0.3945506 39.4536784, -0.3946067 39.4535524, -0.3945888 39.45355, -0.394606 39.453461, -0.3944472 39.4534443, -0.3944187 39.4534204, -0.3944497 39.4532773, -0.3944791 39.4532598, -0.3947034 39.4532807, -0.3947369 39.4531431, -0.3947288 39.4531427, -0.3947355 39.4531108, -0.3947112 39.453107, -0.3946942 39.4530951, -0.3946884 39.4530821, -0.3946941 39.4530673, -0.3947055 39.4530549, -0.3947241 39.453049, -0.3947396 39.4530486, -0.3947482 39.4530493, -0.3947911 39.4528576, -0.3947693 39.4528499, -0.3947524 39.4528435, -0.3947431 39.4528309, -0.3947408 39.4528128, -0.3947473 39.4528003, -0.3947603 39.4527916, -0.3947794 39.4527881, -0.3948074 39.452785, -0.3948636 39.4525418, -0.394881 39.4524772, -0.3947472 39.4524604, -0.3947545 39.4524283, -0.3947442 39.4524262, -0.3947183 39.4524158, -0.394704 39.4524039, -0.3947 39.4523867, -0.3947053 39.4523677, -0.3947194 39.452351, -0.3947454 39.4523422, -0.3947627 39.4523418, -0.3947717 39.4523439, -0.3947762 39.4523184, -0.3952806 39.4523818, -0.3952526 39.4525198, -0.3952765 39.4525234), (-0.3951672 39.4525809, -0.3951819 39.4525122, -0.3949762 39.452486, -0.3949615 39.4525547, -0.3950206 39.4525622, -0.3951141 39.4525741, -0.3951672 39.4525809), (-0.3950023 39.4531383, -0.395095 39.4526557, -0.3950007 39.4526398, -0.3949689 39.4527889, -0.3950359 39.4527972, -0.3950276 39.4528316, -0.3949599 39.4528247, -0.3948639 39.4532967, -0.3949694 39.4533102, -0.3949936 39.453179, -0.3949298 39.453171, -0.3949366 39.4531334, -0.3950023 39.4531383), (-0.3947596 39.4533567, -0.394749 39.4534077, -0.3947171 39.4535827, -0.3949252 39.4536351, -0.3949603 39.4534452, -0.394973 39.4533782, -0.3947596 39.4533567), (-0.3947369 39.4536231, -0.3946934 39.4537241, -0.3948255 39.453758, -0.394869 39.453657, -0.3947369 39.4536231))",hospital,hospital,Hospital Pare Jofré,Carrer de Sant Llàtzer,,,,,,,Generalitat Valenciana,,Q87762637,,,,,,public,hospital,Hospital Pare Jofré,Q87762637,,,,,,,Q2477285,10,,,multipolygon,relation,14731861.0,10,administrative,,Favara,Favara,,boundary,Q8960964,ca:Favara (barri de València),,,,
