geometry,leisure,name_left,name:ca_left,note,name:es_left,operator,operator:type,name:etymology:wikidata,wikidata_left,wikipedia_left,alt_name_left,opening_hours,tourism,addr:city,addr:postcode,addr:street,alt_name:ca_left,alt_name:es,nohousenumber,old_name_left,phone,source_left,wikimedia_commons,dog,smoking,loc_name,access,loc_name:ca,loc_name:es,lit,surface,addr:housenumber,old_name:es,name:sr,place,foot,designation,name:etymology,source:date,natural,garden:type,description,noname,building,fee,parking,landuse,type_left,amenity,centroid,coords,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref,alt_name_right,old_name_right,alt_name:ca_right
POINT (-0.3577068675782756 39.48040566825077),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3577068675782756 39.48040566825077),"(39.48040566825077, -0.3577068675782756)",relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3581006549444095 39.481835674033526),park,Plaça de l'Alcalde Domingo Torres,Plaça de l'Alcalde Domingo Torres,,Plaza del Alcalde Domingo Torres,,,Q59360880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3581006549444095 39.481835674033526),"(39.481835674033526, -0.3581006549444095)",relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3568226584800865 39.481605432682855),park,Jardins de la Guàrdia Civil,Jardins de la Guàrdia Civil,,Jardines de la Guardia Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3568226584800865 39.481605432682855),"(39.481605432682855, -0.3568226584800865)",relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3582268894283882 39.48082927463386),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3582268894283882 39.48082927463386),"(39.48082927463386, -0.35822688942838815)",relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3663232691392926 39.48906235859541),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3663232691392926 39.48906235859541),"(39.48906235859541, -0.36632326913929264)",relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3534556222316271 39.482946739458924),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3534556222316271 39.482946739458924),"(39.482946739458924, -0.35345562223162713)",relation,14232080.0,10,administrative,,Camí de Vera,Camí de Vera,,boundary,Q5399751,ca:Camí de Vera (barri de València),,,,
POINT (-0.3740701045472304 39.47984559356574),park,Jardí del Túria - Tram VI,Jardí del Túria - Tram VI,,Jardin del Turia - Tramo VI,,,Q2713406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3740701045472304 39.47984559356574),"(39.47984559356574, -0.3740701045472304)",relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3776996212887904 39.48163539871991),park,Jardí del Túria - Tram VI,Jardí del Túria - Tram VI,,Jardín del Turia - Tramo VI,,,Q2713406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3776996212887904 39.48163539871991),"(39.48163539871991, -0.37769962128879037)",relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3835823749870271 39.47788416369705),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3835823749870271 39.47788416369705),"(39.47788416369705, -0.3835823749870271)",relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.383710256774022 39.47726439762039),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.383710256774022 39.47726439762039),"(39.47726439762039, -0.383710256774022)",relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3821450687592687 39.479572102928024),park,Jardí de les escultures del IVAM,Jardí de les escultures del IVAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,POINT (-0.3821450687592687 39.479572102928024),"(39.479572102928024, -0.38214506875926874)",relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3775839874448712 39.480591923072325),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3775839874448712 39.480591923072325),"(39.480591923072325, -0.37758398744487115)",relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3752414289400735 39.47943756366776),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3752414289400735 39.47943756366776),"(39.47943756366776, -0.3752414289400735)",relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.383865049184108 39.47643413111523),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.383865049184108 39.47643413111523),"(39.47643413111523, -0.383865049184108)",relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3694191120903659 39.47268059802039),park,Jardins de la Glorieta,Jardins de la Glorieta,,,,,Q11927194,,ca:Jardins de la Glorieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3694191120903659 39.47268059802039),"(39.47268059802039, -0.3694191120903659)",relation,14305095.0,10,administrative,,la Xerea,la Xerea,,boundary,Q9019062,ca:La Xerea,1.2. la Xerea,,,
POINT (-0.3674302926720669 39.47483981389126),park,Jardí del Túria - Tram VIII,Jardí del Túria - Tram VIII,,Jardín del Turia - Tramo VIII,,,Q2713406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3674302926720669 39.47483981389126),"(39.47483981389126, -0.3674302926720669)",relation,14305095.0,10,administrative,,la Xerea,la Xerea,,boundary,Q9019062,ca:La Xerea,1.2. la Xerea,,,
POINT (-0.3701021787404604 39.476327439989014),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3701021787404604 39.476327439989014),"(39.476327439989014, -0.37010217874046036)",relation,14305095.0,10,administrative,,la Xerea,la Xerea,,boundary,Q9019062,ca:La Xerea,1.2. la Xerea,,,
POINT (-0.3744341 39.4776427),park,Punt 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3744341 39.4776427),"(39.4776427, -0.3744341)",relation,14305096.0,10,administrative,,la Seu,la Seu,La Sede,boundary,Q9018963,ca:La Seu (barri de València),1.3. la Seu,,,
POINT (-0.3706158455545371 39.4776433226842),park,Jardí del Túria - Tram VII,Jardí del Túria - Tram VII,,Jardín del Turia - Tramo VII,,,Q2713406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3706158455545371 39.4776433226842),"(39.4776433226842, -0.37061584555453714)",relation,14305096.0,10,administrative,,la Seu,la Seu,La Sede,boundary,Q9018963,ca:La Seu (barri de València),1.3. la Seu,,,
POINT (-0.3741086631376786 39.478886034303976),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3741086631376786 39.478886034303976),"(39.478886034303976, -0.3741086631376786)",relation,14305096.0,10,administrative,,la Seu,la Seu,La Sede,boundary,Q9018963,ca:La Seu (barri de València),1.3. la Seu,,,
POINT (-0.3819950392061744 39.47246672244517),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3819950392061744 39.47246672244517),"(39.47246672244517, -0.38199503920617445)",relation,14305600.0,10,administrative,,el Pilar,el Pilar,,boundary,Q8773296,ca:Velluters,1.4. el Pilar,Velluters,,
POINT (-0.3818667900381469 39.47011216247734),park,Parc de la Cultura,Parc de la Cultura,,,,,Q18006148,Q11940172,ca:Parc de l'Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3818667900381469 39.47011216247734),"(39.47011216247734, -0.3818667900381469)",relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3705694135417793 39.47200192700656),park,Parque del Parterre,,,,,,Q18005685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3705694135417793 39.47200192700656),"(39.47200192700656, -0.3705694135417793)",relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.4105058999999999 39.46847359999999),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4105058999999999 39.46847359999999),"(39.46847359999999, -0.4105058999999999)",relation,14702503.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Llum,la Llum,la Luz,boundary,Q9018676,es:La Llum,,,,
POINT (-0.4120771489305596 39.467860400123904),park,Plaça de Miquel Adlert Noguerol,Plaça de Miquel Adlert Noguerol,,Plaza Miguel Adlert Noguerol,,,Q3315734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4120771489305596 39.467860400123904),"(39.467860400123904, -0.41207714893055963)",relation,14702503.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Llum,la Llum,la Luz,boundary,Q9018676,es:La Llum,,,,
POINT (-0.4140725876255914 39.468822116996584),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4140725876255914 39.468822116996584),"(39.468822116996584, -0.41407258762559135)",relation,14702503.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Llum,la Llum,la Luz,boundary,Q9018676,es:La Llum,,,,
POINT (-0.4082199 39.466458849999995),park,Jardín de la Plaza del Doctor Berenguer Ferrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4082199 39.466458849999995),"(39.466458849999995, -0.4082199)",relation,14705513.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Fontsanta,la Fontsanta,la Fuensanta,boundary,Q11687662,es:La Fuensanta (Valencia),,,,
POINT (-0.407093228522013 39.46401750923416),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.407093228522013 39.46401750923416),"(39.46401750923416, -0.407093228522013)",relation,14705513.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Fontsanta,la Fontsanta,la Fuensanta,boundary,Q11687662,es:La Fuensanta (Valencia),,,,
POINT (-0.4077783536536349 39.46848362706175),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4077783536536349 39.46848362706175),"(39.46848362706175, -0.4077783536536349)",relation,14705513.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Fontsanta,la Fontsanta,la Fuensanta,boundary,Q11687662,es:La Fuensanta (Valencia),,,,
POINT (-0.407060377084597 39.46371922278452),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.407060377084597 39.46371922278452),"(39.46371922278452, -0.407060377084597)",relation,14705513.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,la Fontsanta,la Fontsanta,la Fuensanta,boundary,Q11687662,es:La Fuensanta (Valencia),,,,
POINT (-0.3960480953466836 39.46671709198865),park,Parc de l'Oest,Parc de l'Oest,,Parque del Oeste,,,,Q18005413,ca:Parc de l'Oest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3960480953466836 39.46671709198865),"(39.46671709198865, -0.39604809534668356)",relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.4016794477826011 39.465651273525154),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4016794477826011 39.465651273525154),"(39.465651273525154, -0.40167944778260106)",relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.4042048389068581 39.46518370036491),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4042048389068581 39.46518370036491),"(39.46518370036491, -0.4042048389068581)",relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.3969589308484009 39.464359809993795),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3969589308484009 39.464359809993795),"(39.464359809993795, -0.3969589308484009)",relation,14705514.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Tres Forques,Tres Forques,Tres Forques,boundary,Q9089728,es:Tres Forques,,,,
POINT (-0.3942880503202022 39.470912932090684),park,Nou Moles,Nou Moles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,POINT (-0.3942880503202022 39.470912932090684),"(39.470912932090684, -0.39428805032020225)",relation,14705515.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Nou Moles,Nou Moles,Nou Moles,boundary,Q11696079,es:Nou Moles,,,,
POINT (-0.3946989081202914 39.470286088521696),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,POINT (-0.3946989081202914 39.470286088521696),"(39.470286088521696, -0.39469890812029135)",relation,14705515.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Nou Moles,Nou Moles,Nou Moles,boundary,Q11696079,es:Nou Moles,,,,
POINT (-0.4040304116574057 39.4729412786078),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4040304116574057 39.4729412786078),"(39.4729412786078, -0.4040304116574057)",relation,14705515.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Nou Moles,Nou Moles,Nou Moles,boundary,Q11696079,es:Nou Moles,,,,
POINT (-0.3938798544783895 39.47146274452869),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3938798544783895 39.47146274452869),"(39.47146274452869, -0.39387985447838947)",relation,14705515.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Nou Moles,Nou Moles,Nou Moles,boundary,Q11696079,es:Nou Moles,,,,
POINT (-0.4118039005845059 39.47119404152368),park,Plaça de Mencía de Mendoza,Plaça de Mencía de Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4118039005845059 39.47119404152368),"(39.47119404152368, -0.4118039005845059)",relation,14705516.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Soternes,Soternes,Soternes,boundary,Q9079092,es:Soternes,,,,
POINT (-0.4092597944273767 39.4721304705322),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4092597944273767 39.4721304705322),"(39.4721304705322, -0.4092597944273767)",relation,14705516.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Soternes,Soternes,Soternes,boundary,Q9079092,es:Soternes,,,,
POINT (-0.4082356473839096 39.472033310200985),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4082356473839096 39.472033310200985),"(39.472033310200985, -0.4082356473839096)",relation,14705516.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Soternes,Soternes,Soternes,boundary,Q9079092,es:Soternes,,,,
POINT (-0.414249386779047 39.47043407060474),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.414249386779047 39.47043407060474),"(39.47043407060474, -0.41424938677904705)",relation,14705516.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Soternes,Soternes,Soternes,boundary,Q9079092,es:Soternes,,,,
POINT (-0.3613815075718823 39.466222169499204),park,Jardí del Túria - Tram XI,Jardí del Túria - Tram XI,,Jardín del Turia - Tramo XI,,,Q2713406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,POINT (-0.3613815075718823 39.466222169499204),"(39.466222169499204, -0.3613815075718823)",relation,14727510.0,10,administrative,,Gran Via,Gran Via,,boundary,Q8964912,ca:Gran Via (barri de València),,,,
POINT (-0.3786476005349779 39.45761867276429),park,Parc Central,Parc Central,,Parque Central,,,,Q11940150,es:Valencia Parque Central,,Mar-Oct: 08:00-21:00; Nov-Feb: 08:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3786476005349779 39.45761867276429),"(39.45761867276429, -0.3786476005349779)",relation,14727511.0,10,administrative,,Russafa,Russafa,Ruzafa,boundary,Q9071485,ca:Russafa,,,,
POINT (-0.3856687616483738 39.47122899615328),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3856687616483738 39.47122899615328),"(39.47122899615328, -0.3856687616483738)",relation,14727567.0,10,administrative,,Arrancapins,Arrancapins,,boundary,Q8204897,ca:Arrancapins,,,,
POINT (-0.3829323566577007 39.46741774725367),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3829323566577007 39.46741774725367),"(39.46741774725367, -0.3829323566577007)",relation,14727567.0,10,administrative,,Arrancapins,Arrancapins,,boundary,Q8204897,ca:Arrancapins,,,,
POINT (-0.383757206926018 39.4685591782661),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.383757206926018 39.4685591782661),"(39.4685591782661, -0.38375720692601795)",relation,14727567.0,10,administrative,,Arrancapins,Arrancapins,,boundary,Q8204897,ca:Arrancapins,,,,
POINT (-0.3832528014168576 39.46784999140064),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3832528014168576 39.46784999140064),"(39.46784999140064, -0.38325280141685764)",relation,14727567.0,10,administrative,,Arrancapins,Arrancapins,,boundary,Q8204897,ca:Arrancapins,,,,
POINT (-0.3822518044955726 39.46642741297869),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3822518044955726 39.46642741297869),"(39.46642741297869, -0.38225180449557256)",relation,14727567.0,10,administrative,,Arrancapins,Arrancapins,,boundary,Q8204897,ca:Arrancapins,,,,
POINT (-0.392929227462147 39.472886858992624),park,Plaça de l'Horticultor Corset,Plaça de l'Horticultor Corset,,Plaza Horticultor Corset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.392929227462147 39.472886858992624),"(39.472886858992624, -0.392929227462147)",relation,14727568.0,10,administrative,,la Petxina,la Petxina,,boundary,Q9018918,ca:La Roqueta (barri de València),,,,
POINT (-0.387884743660555 39.474342994117514),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.387884743660555 39.474342994117514),"(39.474342994117514, -0.38788474366055503)",relation,14727568.0,10,administrative,,la Petxina,la Petxina,,boundary,Q9018918,ca:La Roqueta (barri de València),,,,
POINT (-0.3881750116990978 39.47474849373568),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3881750116990978 39.47474849373568),"(39.47474849373568, -0.3881750116990978)",relation,14727568.0,10,administrative,,la Petxina,la Petxina,,boundary,Q9018918,ca:La Roqueta (barri de València),,,,
POINT (-0.386752885475543 39.47275419734778),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,POINT (-0.386752885475543 39.47275419734778),"(39.47275419734778, -0.386752885475543)",relation,14727568.0,10,administrative,,la Petxina,la Petxina,,boundary,Q9018918,ca:La Roqueta (barri de València),,,,
POINT (-0.3875453297812218 39.473868906782315),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,POINT (-0.3875453297812218 39.473868906782315),"(39.473868906782315, -0.38754532978122175)",relation,14727568.0,10,administrative,,la Petxina,la Petxina,,boundary,Q9018918,ca:La Roqueta (barri de València),,,,
