geometry,name_left,public_transport,railway,tram,alt_name_left,alt_name:ca_left,name:ca_left,operator,wikidata_left,wikipedia_left,name:es_left,old_name_left,network,network:wikidata,network:wikipedia,operator:wikidata,operator:wikipedia,station,tunnel,layer,alt_name:es,element_right,id_right,admin_level,boundary,source,Barrio,name:ca_right,name:es_right,type,wikidata_right,wikipedia_right,ref,alt_name_right,old_name_right,alt_name:ca_right
POINT (-0.3572899 39.4833051),Vicent Zaragozà,stop_position,tram_stop,yes,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3674559 39.4863223),Trinitat,stop_position,tram_stop,yes,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3654009 39.4896858),Alfauir,stop_position,tram_stop,yes,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3630382 39.4850264),Benimaclet,stop_position,tram_stop,yes,,,Benimaclet,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3572778 39.4833333),Vicent Zaragozà,stop_position,tram_stop,yes,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3675895 39.4863439),Trinitat,station,tram_stop,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3694827 39.4641083),Russafa,stop_position,tram_stop,yes,,,Russafa,Ferrocarrils de la Generalitat Valenciana,,,,,metrovalencia,Q511171,ca:Metrovalència,Q750832,ca:Ferrocarrils de la Generalitat Valenciana,tram,yes,,,relation,14727510.0,10,administrative,,Gran Via,Gran Via,,boundary,Q8964912,ca:Gran Via (barri de València),,,,
POINT (-0.3695396 39.4640762),Russafa,stop_position,tram_stop,yes,,,Russafa,Ferrocarrils de la Generalitat Valenciana,,,,,metrovalencia,Q511171,ca:Metrovalència,Q750832,ca:Ferrocarrils de la Generalitat Valenciana,tram,yes,,,relation,14727510.0,10,administrative,,Gran Via,Gran Via,,boundary,Q8964912,ca:Gran Via (barri de València),,,,
POINT (-0.3774505 39.4648977),Alacant,stop_position,tram_stop,yes,,,,Ferrocarrils de la Generalitat Valenciana,,,,,metrovalencia,Q1142140,ca:Metrovalència,Q750832,ca:Ferrocarrils de la Generalitat Valenciana,tram,yes,,,relation,14727511.0,10,administrative,,Russafa,Russafa,Ruzafa,boundary,Q9071485,ca:Russafa,,,,
POINT (-0.3774058 39.4648888),Alacant,stop_position,tram_stop,yes,,,,Ferrocarrils de la Generalitat Valenciana,,,,,metrovalencia,Q511171,ca:Metrovalència,Q750832,ca:Ferrocarrils de la Generalitat Valenciana,tram,yes,,,relation,14727511.0,10,administrative,,Russafa,Russafa,Ruzafa,boundary,Q9071485,ca:Russafa,,,,
POINT (-0.3651851 39.4950424),Estadi Ciutat de València,stop_position,tram_stop,yes,,,,,,,,,,,,,,,,,,relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3654241 39.4897091),Alfauir,stop_position,tram_stop,yes,,,,,,,,,,,,,,,,,,relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3651641 39.4950154),Estadi Ciutat de València,stop_position,tram_stop,yes,,,,,,,,,,,,,,,,,,relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3651713 39.4950246),Estadi Ciutat de València,station,tram_stop,,,,,,Q85869281,es:Estación de Estadi Ciutat de València,,,,,,,,,,,,relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
